time_s,ecg_au
0.000000000000000000e+00,1.845230036225196241e-05
2.000000000000000042e-03,4.713660318099852607e-03
4.000000000000000083e-03,-3.647116924832560086e-03
6.000000000000000125e-03,-1.266146023625891633e-02
8.000000000000000167e-03,-5.890188808765304922e-03
1.000000000000000021e-02,-1.371238415319183529e-02
1.200000000000000025e-02,2.296891388164377500e-03
1.400000000000000029e-02,2.173036758004743413e-02
1.600000000000000033e-02,-5.523582567990910352e-03
1.800000000000000211e-02,-7.215260811073820335e-03
2.000000000000000042e-02,9.671808474210806528e-03
2.199999999999999872e-02,7.909761835719581607e-03
2.400000000000000050e-02,4.369909794881958812e-03
2.600000000000000228e-02,-1.093612851070007927e-02
2.800000000000000058e-02,2.814264075840237651e-03
2.999999999999999889e-02,1.391468813562676821e-02
3.200000000000000067e-02,-1.644603323036480241e-02
3.400000000000000244e-02,-2.915064320317296322e-03
3.600000000000000422e-02,-2.433724312613471177e-02
3.799999999999999906e-02,-1.493010708704172428e-02
4.000000000000000083e-02,-2.298127394987401623e-02
4.200000000000000261e-02,1.350105232883491886e-03
4.399999999999999745e-02,-1.390358005836886748e-02
4.599999999999999922e-02,9.408648301017763158e-03
4.800000000000000100e-02,7.922432174781692676e-03
5.000000000000000278e-02,2.998598275634931434e-03
5.200000000000000455e-02,-3.171752662151036684e-02
5.399999999999999939e-02,-1.815311360477818610e-03
5.600000000000000117e-02,5.768683789634744020e-03
5.800000000000000294e-02,8.426847929134031329e-03
5.999999999999999778e-02,-1.599391248026800841e-02
6.199999999999999956e-02,2.262784150212394929e-05
6.400000000000000133e-02,-7.258167669003645281e-03
6.600000000000000311e-02,-4.482363603780562498e-03
6.800000000000000488e-02,2.379413221813338197e-02
7.000000000000000666e-02,-4.002031558393697244e-03
7.200000000000000844e-02,7.853372959377203505e-03
7.399999999999999634e-02,2.183712720026495524e-02
7.599999999999999811e-02,4.722048798864487973e-05
7.799999999999999989e-02,7.355509102318991480e-03
8.000000000000000167e-02,1.091767188745311826e-02
8.200000000000000344e-02,1.044696422489634069e-02
8.400000000000000522e-02,-8.656218972073394247e-03
8.600000000000000699e-02,1.109095210350957358e-02
8.799999999999999489e-02,3.056027608906693172e-02
8.999999999999999667e-02,-1.280032690730844615e-02
9.199999999999999845e-02,2.352634098686854497e-02
9.400000000000000022e-02,1.265450389199232646e-02
9.600000000000000200e-02,1.470562442503958733e-03
9.800000000000000377e-02,4.132712001552526354e-02
1.000000000000000056e-01,2.298284625259703479e-02
1.020000000000000073e-01,-6.212482186541872300e-03
